Date;Week;Open;High;Low;Close;Average;;;;
31-12-2006;1;498;502;494;494;496;;;;
7-1-2007;2;495;503;491;503;499;;;;0,000001
14-1-2007;3;505;509;502;507;506;;;;
21-1-2007;4;508;509;497;500;504;;;;
28-1-2007;5;500;508;498;507;503;;;;
4-2-2007;6;507;510;504;507;507;;;;
11-2-2007;7;505;509;503;506;505;;;;
18-2-2007;8;507;512;505;511;509;;;;
25-2-2007;9;511;512;477;480;496;;;;
4-3-2007;10;471;492;470;490;481;;;;
11-3-2007;11;494;494;473;482;488;;;;
18-3-2007;12;490;515;487;514;502;;;;
25-3-2007;13;515;516;503;511;513;;;;
1-4-2007;14;511;519;510;519;515;;;;
8-4-2007;15;519;527;516;524;521;;;;
15-4-2007;16;529;539;524;536;532;;;;
22-4-2007;17;539;539;529;530;535;;;;
29-4-2007;18;528;541;528;540;534;;;;
6-5-2007;19;540;540;521;531;536;;;;
13-5-2007;20;533;538;526;537;535;;;;
20-5-2007;21;538;542;532;535;537;;;;
27-5-2007;22;536;544;531;544;540;;;;
3-6-2007;23;544;548;531;535;539;;;;
10-6-2007;24;538;552;531;552;545;;;;
17-6-2007;25;552;555;547;549;550;;;;
24-6-2007;26;545;549;539;548;547;;;;
1-7-2007;27;546;556;546;555;550;;;;
8-7-2007;28;557;564;549;561;559;;;;
15-7-2007;29;563;564;555;555;559;;;;
22-7-2007;30;555;559;526;527;541;;;;
29-7-2007;31;527;534;519;522;524;;;;
5-8-2007;32;516;533;498;502;509;;;;
12-8-2007;33;508;515;479;499;504;;;;
19-8-2007;34;504;521;500;518;511;;;;
26-8-2007;35;520;525;503;523;521;;;;
2-9-2007;36;524;532;516;517;521;;;;
9-9-2007;37;517;532;512;528;523;;;;
16-9-2007;38;528;547;522;545;536;;;;
23-9-2007;39;544;544;533;541;542;;;;
30-9-2007;40;538;549;538;547;543;;;;
7-10-2007;41;547;559;544;559;553;;;;
14-10-2007;42;558;559;548;551;555;;;;
21-10-2007;43;541;549;539;547;544;;;;
28-10-2007;44;551;552;534;537;544;;;;
4-11-2007;45;534;536;507;511;522;;;;
11-11-2007;46;507;516;497;500;503;;;;
18-11-2007;47;502;505;481;492;497;;;;
25-11-2007;48;497;510;487;508;502;;;;
2-12-2007;49;507;516;495;514;510;;;;
9-12-2007;50;512;521;506;511;512;;;;
16-12-2007;51;506;515;499;514;510;;;;
23-12-2007;52;515;519;514;516;515;;;;
30-12-2007;53;516;518;499;501;508;;;;
6-1-2008;54;499;503;480;482;490;;;;
13-1-2008;55;480;487;450;450;465;;;;
20-1-2008;56;444;454;401;439;442;;;;
27-1-2008;57;433;454;430;452;442;;;;
3-2-2008;58;457;457;429;432;444;;;;
10-2-2008;59;428;450;425;435;432;;;;
17-2-2008;60;438;458;438;452;445;;;;
24-2-2008;61;457;466;444;447;452;;;;
2-3-2008;62;439;446;430;435;437;;;;
9-3-2008;63;432;443;426;432;432;;;;
16-3-2008;64;419;433;414;426;422;;;;
23-3-2008;65;438;445;433;441;439;;;;
30-3-2008;66;438;461;435;461;449;;;;
6-4-2008;67;464;466;451;453;459;;;;
13-4-2008;68;448;476;448;475;461;;;;
20-4-2008;69;475;475;461;468;471;;;;
27-4-2008;70;468;483;468;481;475;;;;
4-5-2008;71;480;487;477;480;480;;;;
11-5-2008;72;484;495;476;491;487;;;;
18-5-2008;73;492;496;478;478;485;;;;
25-5-2008;74;479;488;473;486;482;;;;
1-6-2008;75;484;487;471;471;478;;;;
8-6-2008;76;469;472;452;460;465;;;;
15-6-2008;77;460;464;435;437;449;;;;
22-6-2008;78;437;441;419;426;431;;;;
29-6-2008;79;427;429;400;403;415;;;;
6-7-2008;80;407;412;392;392;400;;;;
13-7-2008;81;397;400;374;396;397;;;;
20-7-2008;82;395;408;391;396;396;;;;
27-7-2008;83;395;406;387;395;395;;;;
3-8-2008;84;393;412;392;409;401;;;;
10-8-2008;85;410;417;406;410;410;;;;
17-8-2008;86;409;414;397;408;409;;;;
24-8-2008;87;406;415;397;413;410;;;;
31-8-2008;88;409;416;388;389;399;;;;
7-9-2008;89;405;405;388;400;402;;;;
14-9-2008;90;387;389;350;382;384;;;;
21-9-2008;91;383;385;355;355;369;;;;
28-9-2008;92;354;354;311;344;349;;;;
5-10-2008;93;328;330;254;258;293;;;;
12-10-2008;94;273;303;242;252;263;;;;
19-10-2008;95;258;276;232;246;252;;;;
