Date;Open;High;Low;Close;Average
1-1-2007;12.459.540.039;12.580.349.609;12.365.410.156;12.398.009.766;12.428.774.903
8-1-2007;12.392.009.766;12.561.040.039;12.337.370.117;12.556.080.078;12.474.044.922
15-1-2007;12.555.839.844;12.614.000.000;12.523.549.805;12.565.530.273;12.560.685.059
22-1-2007;12.565.530.273;12.623.450.195;12.431.339.844;12.487.019.531;12.526.274.902
29-1-2007;12.487.099.609;12.683.929.688;12.459.459.961;12.653.490.234;12.570.294.922
5-2-2007;12.653.410.156;12.700.280.273;12.545.099.609;12.580.830.078;12.617.120.117
12-2-2007;12.580.110.352;12.779.030.273;12.536.209.961;12.767.570.313;12.673.840.333
19-2-2007;12.766.849.609;12.795.929.688;12.628.019.531;12.647.480.469;12.707.165.039
26-2-2007;12.647.879.883;12.697.230.469;12.059.540.039;12.114.099.609;12.380.989.746
5-3-2007;12.111.610.352;12.330.879.883;12.039.110.352;12.276.320.313;12.193.965.333
12-3-2007;12.275.679.688;12.349.950.195;11.939.610.352;12.110.410.156;12.193.044.922
19-3-2007;12.110.410.156;12.511.049.805;12.110.410.156;12.481.009.766;12.295.709.961
26-3-2007;12.480.370.117;12.486.780.273;12.242.599.609;12.354.349.609;12.417.359.863
2-4-2007;12.354.519.531;12.572.469.727;12.324.280.273;12.560.200.195;12.457.359.863
9-4-2007;12.562.639.648;12.615.379.883;12.428.219.727;12.612.129.883;12.587.384.766
16-4-2007;12.611.639.648;12.966.290.039;12.611.309.570;12.961.980.469;12.786.810.059
23-4-2007;12.961.980.469;13.148.000.000;12.901.679.688;13.120.940.430;13.041.460.450
30-4-2007;13.120.209.961;13.284.530.273;13.041.299.805;13.264.620.117;13.192.415.039
7-5-2007;13.264.129.883;13.369.290.039;13.210.900.391;13.326.219.727;13.295.174.805
14-5-2007;13.325.809.570;13.558.480.469;13.297.040.039;13.556.530.273;13.441.169.922
21-5-2007;13.556.530.273;13.624.549.805;13.423.900.391;13.507.280.273;13.531.905.273
28-5-2007;13.507.280.273;13.692.000.000;13.456.730.469;13.668.110.352;13.587.695.313
4-6-2007;13.667.209.961;13.690.379.883;13.251.530.273;13.424.389.648;13.545.799.805
11-6-2007;13.424.389.648;13.688.660.156;13.287.620.117;13.639.480.469;13.531.935.059
18-6-2007;13.639.000.000;13.674.360.352;13.359.690.430;13.360.259.766;13.499.629.883
25-6-2007;13.360.089.844;13.524.540.039;13.259.860.352;13.408.620.117;13.384.354.981
2-7-2007;13.409.599.609;13.633.629.883;13.409.519.531;13.611.679.688;13.510.639.649
9-7-2007;13.612.660.156;13.932.290.039;13.474.790.039;13.907.250.000;13.759.955.078
16-7-2007;13.907.089.844;14.021.950.195;13.797.669.922;13.851.080.078;13.879.084.961
23-7-2007;13.851.730.469;13.973.990.234;13.265.469.727;13.265.469.727;13.558.600.098
30-7-2007;13.266.209.961;13.503.330.078;13.132.650.391;13.181.910.156;13.224.060.059
6-8-2007;13.183.129.883;13.695.820.313;13.057.860.352;13.239.540.039;13.211.334.961
13-8-2007;13.239.540.039;13.338.150.391;12.517.940.430;13.079.080.078;13.159.310.059
20-8-2007;13.079.080.078;13.381.469.727;12.982.750.000;13.378.870.117;13.228.975.098
27-8-2007;13.377.160.156;13.428.950.195;13.034.780.273;13.357.740.234;13.367.450.195
3-9-2007;13.358.389.648;13.494.059.570;13.082.169.922;13.113.379.883;13.235.884.766
10-9-2007;13.116.389.648;13.469.269.531;13.021.929.688;13.442.519.531;13.279.454.590
17-9-2007;13.441.950.195;13.877.169.922;13.362.370.117;13.820.190.430;13.631.070.313
24-9-2007;13.821.570.313;13.924.809.570;13.696.309.570;13.895.629.883;13.858.600.098
1-10-2007;13.895.709.961;14.124.540.039;13.893.509.766;14.066.009.766;13.980.859.864
8-10-2007;14.065.360.352;14.198.099.609;13.950.250.000;14.093.080.078;14.079.220.215
15-10-2007;14.092.429.688;14.118.519.531;13.511.940.430;13.522.019.531;13.807.224.610
22-10-2007;13.521.620.117;13.811.250.000;13.407.490.234;13.806.700.195;13.664.160.156
29-10-2007;13.807.349.609;13.962.530.273;13.446.019.531;13.595.099.609;13.701.224.609
5-11-2007;13.592.580.078;13.669.719.727;13.017.299.805;13.042.740.234;13.317.660.156
12-11-2007;13.039.160.156;13.367.169.922;12.975.110.352;13.176.790.039;13.107.975.098
19-11-2007;13.176.299.805;13.176.299.805;12.786.030.273;12.980.879.883;13.078.589.844
26-11-2007;12.979.990.234;13.466.990.234;12.724.089.844;13.371.719.727;13.175.854.981
3-12-2007;13.368.219.727;13.668.099.609;13.237.589.844;13.625.580.078;13.496.899.903
10-12-2007;13.623.549.805;13.780.110.352;13.321.639.648;13.339.849.609;13.481.699.707
17-12-2007;13.339.200.195;13.473.980.469;13.092.000.000;13.450.650.391;13.394.925.293
24-12-2007;13.450.730.469;13.563.480.469;13.298.150.391;13.365.870.117;13.408.300.293
31-12-2007;13.364.160.156;13.364.730.469;12.789.040.039;12.800.179.688;13.082.169.922
7-1-2008;12.801.150.391;12.931.290.039;12.501.759.766;12.606.299.805;12.703.725.098
14-1-2008;12.613.780.273;12.794.570.313;12.022.480.469;12.099.299.805;12.356.540.039
21-1-2008;12.092.719.727;12.486.889.648;11.634.820.313;12.207.169.922;12.149.944.825
