state;GSP;FIPS;population;percentagegdp;percentagepop;;;;
Alabama;265.8;1;4.9;1.1;1.5;;;;
Alaska;60;2;0.8;0.2;0.2;;;;
Arizona;401.4;3;7.5;1.7;2.2;;;;
Arkansas;155;4;3;0.6;0.9;;;;
California;3473.70;5;40.6;14.3;12.1;;;;
Colorado;425;6;6;1.8;1.8;;;;
Connecticut;343.2;7;3.5;1.4;1.0;;;;
Delaware;91;8;1;0.4;0.3;;;;
District of Columbia;169.9;9;0.7;0.7;0.2;;;;
Florida;1244.30;10;22.6;5.1;6.8;;;;
Georgia;704.2;11;10.9;2.9;3.3;;;;
Hawaii;111.5;12;1.4;0.5;0.4;;;;
Idaho;87.7;13;1.8;0.4;0.5;;;;
Illinois;1028.10;14;12.6;4.2;3.8;;;;
Indiana;444.3;15;6.7;1.8;2.0;;;;
Iowa;229.5;16;3.2;0.9;1.0;;;;
Kansas;194.8;17;2.9;0.8;0.9;;;;
Kentucky;256.5;18;4.5;1.1;1.3;;;;
Louisiana;290.7;19;4.7;1.2;1.4;;;;
Maine;77.9;20;1.3;0.3;0.4;;;;
Maryland;496.6;21;6.1;2.0;1.8;;;;
Massachusetts;674;22;7;2.8;2.1;;;;
Michigan;641.8;23;10;2.6;3.0;;;;
Minnesota;435.4;24;5.7;1.8;1.7;;;;
Mississippi;138.3;25;3;0.6;0.9;;;;
Missouri;392.3;26;6.2;1.6;1.9;;;;
Montana;58;27;1.1;0.2;0.3;;;;
Nebraska;148.1;28;2;0.6;0.6;;;;
Nevada;197.1;29;3.2;0.8;1.0;;;;
New Hampshire;104.5;30;1.4;0.4;0.4;;;;
New Jersey;759.4;31;9;3.1;2.7;;;;
New Mexico;117.3;32;2.1;0.5;0.6;;;;
New York;1943.60;33;19.7;8.0;5.9;;;;
North Carolina;683.2;34;10.7;2.8;3.2;;;;
North Dakota;60.4;35;0.8;0.2;0.2;;;;
Ohio;818.4;36;11.7;3.4;3.5;;;;
Oklahoma;222.2;37;4;0.9;1.2;;;;
Oregon;304.1;38;4.5;1.3;1.3;;;;
Pennsylvania;939.1;39;12.7;3.9;3.8;;;;
Rhode Island;75.3;40;1.1;0.3;0.3;;;;
South Carolina;277.7;41;5.3;1.1;1.6;;;;
South Dakota;62.3;42;0.9;0.3;0.3;;;;
Tennessee;434.8;43;6.9;1.8;2.1;;;;
Texas;2039.80;44;30.1;8.4;9.0;;;;
Utah;209.9;45;3.4;0.9;1.0;;;;
Vermont;40.4;46;0.6;0.2;0.2;;;;
Virginia;642.9;47;8.6;2.6;2.6;;;;
Washington;634;48;8;2.6;2.4;;;;
West Virginia;92.1;49;1.8;0.4;0.5;;;;
Wisconsin;402.7;50;5.8;1.7;1.7;;;;
Wyoming;45.3;51;0.6;0.2;0.2;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;24,261.30;;;;;;;;
